audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\acknowledge\keepQuietDisabled,3.wav,ricevuto ti aggiornero',ricevuto ti aggiornero',"acknowledged, I'll keep you up to date"
\voice\acknowledge\keepQuietEnabled,1.wav,ok niente piu' aggiornamenti,ok niente piu' aggiornamenti,"okay, no more updates"
\voice\acknowledge\keepQuietEnabled,2.wav,ok sto zitto,ok sto zitto,"okay, I'll keep quiet"
\voice\acknowledge\keepQuietEnabled,3.wav,ok ti lascio guidare,ok ti lascio guidare,"okay, I'll leave you to it"
\voice\acknowledge\keep_quiet_in_corners_disabled,1.wav,ricevuto comunicazioni in qualsiasi punto del giro,ricevuto comunicazioni in qualsiasi punto del giro,"acknowledged, calls at any point during the lap"
\voice\acknowledge\keep_quiet_in_corners_disabled,2.wav,ricevuto comunichero' in qualsiasi momento,ricevuto comunichero' in qualsiasi momento,"copy that, we'll give call at any point"
\voice\acknowledge\keep_quiet_in_corners_disabled,3.wav,capito comunichero' in ogni punto del giro,capito comunichero' in ogni punto del giro,"understood, we'll give those calls at any point during the lap"
\voice\acknowledge\keep_quiet_in_corners_disabled,4.wav,ricevuto chiamate in ogni punto del giro,ricevuto chiamate in ogni punto del giro,"acknowledged, calls at any point in the lap"
\voice\acknowledge\keep_quiet_in_corners_enabled,1.wav,capito staro' zitto in curva,capito staro' zitto in curva,"understood, I'll keep quiet in the corners"
\voice\acknowledge\keep_quiet_in_corners_enabled,2.wav,ricevuto niente chiamate in curva,ricevuto niente chiamate in curva,"acknowledged, no more calls in the corners"
\voice\acknowledge\keep_quiet_in_corners_enabled,3.wav,ok cerchero' di non parlare nelle zone di frenata,ok cerchero' di non parlare nelle zone di frenata,"okay, I'll try to minimize the calls in the braking zones"
\voice\acknowledge\keep_quiet_in_corners_enabled,4.wav,ok parlero' solo nei rettilinei,ok parlero' solo nei rettilinei,"okay, call only on the straights"
\voice\acknowledge\no,1.wav,no,no,no
\voice\acknowledge\no,2.wav,no,no,no
\voice\acknowledge\no,3.wav,no,no,no
\voice\acknowledge\no,4.wav,no,no,no
\voice\acknowledge\no_data,1.wav,non abbiamo quel dato,non abbiamo quel dato,we don't have that data
\voice\acknowledge\no_data,2.wav,non abbiamo quel dato,non abbiamo quel dato,we haven't got that data
\voice\acknowledge\no_data,3.wav,non abbiamo abbastanza dati,non abbiamo abbastanza dati,we don't have enough data for that
\voice\acknowledge\no_data,4.wav,non abbiamo quel dato,non abbiamo quel dato,we haven't got that data
\voice\acknowledge\no_data,5.wav,non abbiamo il dato,non abbiamo il dato,we don't have the data
\voice\acknowledge\no_more_data,1.wav,non abbiamo altri dati,non abbiamo altri dati,we don't have any more data
\voice\acknowledge\no_more_data,2.wav,non abbiamo altre informazioni,non abbiamo altre informazioni,we have no more information
\voice\acknowledge\no_more_data,3.wav,non abbiamo altri dati,non abbiamo altri dati,we don't have any more data
\voice\acknowledge\pit_strategy_1,23.wav,strategia pit uno selezionata,strategia pit uno selezionata,pit strategy 1 selected
\voice\acknowledge\pit_strategy_2,24.wav,strategia pit due selezionata,strategia pit due selezionata,pit strategy 2 selected
\voice\acknowledge\pit_strategy_3,25.wav,strategia pit tre selezionata,strategia pit tre selezionata,pit strategy 3 selected
\voice\acknowledge\pit_strategy_4,26.wav,strategia pit quattro selezionata,strategia pit quattro selezionata,pit strategy 4 selected
\voice\acknowledge\radio_check,1_op_prefix_ok.wav,si' ti sento,si' ti sento,"yeah, I can hear you"
\voice\acknowledge\radio_check,2_op_prefix_ok.wav,ti sento,ti sento,I can hear you
\voice\acknowledge\radio_check,3.wav,si' ti ricevo,si' ti ricevo,"yes, I can hear you"
\voice\acknowledge\spotterDisabled,1.wav,ok niente piu' chiamate spotter,ok niente piu' chiamate spotter,"okay, no more spotter calls"
\voice\acknowledge\spotterDisabled,2.wav,ok niente spotter,ok niente spotter,"okay, no spotter calls"
\voice\acknowledge\spotterDisabled,3.wav,ok niente chiamate spotter,ok niente chiamate spotter,"okay, no spot calls"
\voice\acknowledge\spotterEnabled,1.wav,capito ti daro' le chiamate,capito ti daro' le chiamate,"understood, I'll give those calls"
\voice\acknowledge\spotterEnabled,2.wav,ok faro' da spotter,ok faro' da spotter,"okay, I'll spot"
\voice\acknowledge\spotterEnabled,3.wav,capito ti daro' le chiamate,capito ti daro' le chiamate,"understood, I'll give those calls"
\voice\acknowledge\stand_by,1.wav,ok attendi,ok attendi,"okay, standby"
\voice\acknowledge\stand_by,2.wav,attendi,attendi,standby
\voice\acknowledge\stand_by,3.wav,un momento,un momento,just a minute
\voice\acknowledge\stand_by,4.wav,aspetta,aspetta,hold on
\voice\acknowledge\stand_by,5.wav,attendi,attendi,standby
\voice\acknowledge\stand_by,6.wav,attendi,attendi,standby
\voice\acknowledge\stand_by,7.wav,attendi,attendi,standby
\voice\acknowledge\stand_by,8.wav,un momento,un momento,just a minute
\voice\acknowledge\yellowDisabled,1.wav,ok niente piu' aggiornamenti incidenti,ok niente piu' aggiornamenti incidenti,"okay, no more incident updates"
\voice\acknowledge\yellowDisabled,2.wav,ok niente piu' bandiere gialle,ok niente piu' bandiere gialle,"okay, no more yellow flag reports"
\voice\acknowledge\yellowDisabled,3.wav,ok niente piu' report gialle,ok niente piu' report gialle,"okay, no more yellow reports"
\voice\acknowledge\yellowEnabled,4.wav,ricevuto ti comunichero' le gialle,ricevuto ti comunichero' le gialle,"acknowledged, we'll report on yellows"
\voice\acknowledge\yellowEnabled,5.wav,ok ti daro' i report bandiere gialle,ok ti daro' i report bandiere gialle,"okay, we'll give yellow reports"
\voice\acknowledge\yellowEnabled,6.wav,ok ti daro' i report sugli incidenti,ok ti daro' i report sugli incidenti,"okay, we'll give you incident reports"
\voice\acknowledge\yes,1.wav,si',si',yes
\voice\acknowledge\yes,2.wav,si',si',yes
\voice\acknowledge\yes,3.wav,si',si',yes
\voice\acknowledge\yes,4.wav,si',si',yea
\voice\acknowledge\yes,5.wav,si',si',yes
\voice\alarm_clock\alarms,1.wav,SVEGLIA,SVEGLIA,FOGHORN
\voice\alarm_clock\am,1.wav,di mattina,di mattina,a.m.
\voice\alarm_clock\am,2.wav,di mattina,di mattina,a.m.
\voice\alarm_clock\am,3.wav,di mattina,di mattina,a.m.
\voice\alarm_clock\notify,1.wav,ti avviseremo alle,ti avviseremo alle,we'll notify you at
\voice\alarm_clock\notify,2.wav,ok ti avviseremo alle,ok ti avviseremo alle,"okay, we'll notify you at"
\voice\alarm_clock\notify,3.wav,va bene ti avviseremo alle,va bene ti avviseremo alle,"all right, we'll notify you at"
\voice\alarm_clock\notify,4.wav,ricevuto sarai avvisato alle,ricevuto sarai avvisato alle,"acknowledged, you'll be notified at"
\voice\alarm_clock\notify,5.wav,ok ti avviseremo alle,ok ti avviseremo alle,"okay, we'll notify you at"
\voice\alarm_clock\notify,6.wav,ti avviseremo alle,ti avviseremo alle,we'll notify you at
\voice\alarm_clock\pm,4.wav,di pomeriggio,di pomeriggio,p.m.
\voice\alarm_clock\pm,5.wav,di pomeriggio,di pomeriggio,p.m.
\voice\alarm_clock\pm,6.wav,di pomeriggio,di pomeriggio,p.m.
\voice\battery\about_to_run_out,1.wav,la batteria sta per finire,la batteria sta per finire,"this battery is about to run out, mate"
\voice\battery\about_to_run_out,2.wav,la batteria e' quasi scarica sta per finire,la batteria e' quasi scarica sta per finire,"this battery is had it, it's about to run out"
\voice\battery\about_to_run_out,3.wav,la batteria e' praticamente finita,la batteria e' praticamente finita,this battery is pretty much done
\voice\battery\battery_use_increasing,1.wav,il consumo batteria sta aumentando,il consumo batteria sta aumentando,your battery use is increasing
\voice\battery\battery_use_increasing,2.wav,il consumo energia sta aumentando,il consumo energia sta aumentando,your energy use is increasing
\voice\battery\battery_use_increasing,3.wav,il consumo batteria sta aumentando,il consumo batteria sta aumentando,your battery use is increasing
\voice\battery\battery_use_reducing,1.wav,il consumo batteria sta calando,il consumo batteria sta calando,your battery use is dropping
\voice\battery\battery_use_reducing,2.wav,il consumo batteria si sta riducendo,il consumo batteria si sta riducendo,your battery use is reducing
\voice\battery\battery_use_reducing,3.wav,il consumo energia si sta riducendo,il consumo energia si sta riducendo,your energy use is reducing
\voice\battery\battery_use_stable,1.wav,il consumo batteria e' stabile,il consumo batteria e' stabile,your battery use is now stable
\voice\battery\battery_use_stable,2.wav,il consumo batteria e' stabile,il consumo batteria e' stabile,your battery use is stable
\voice\battery\battery_use_stable,3.wav,il consumo batteria si e' stabilizzato,il consumo batteria si e' stabilizzato,your battery use is stabilized
\voice\battery\critical_battery,1.wav,la batteria e' quasi vuota,la batteria e' quasi vuota,your battery is almost empty
\voice\battery\critical_battery,2.wav,la batteria e' davvero bassa,la batteria e' davvero bassa,the battery is really low
\voice\battery\critical_battery,3.wav,il livello batteria e' molto basso,il livello batteria e' molto basso,the battery level is really low
\voice\battery\critical_battery,4.wav,livello batteria critico siamo molto bassi di energia,livello batteria critico siamo molto bassi di energia,"critical battery level, we're really low on energy"
\voice\battery\current_charge_should_make_end,1.wav,dovresti arrivare alla fine con questa carica,dovresti arrivare alla fine con questa carica,you should be able to make it to the end on this charge
\voice\battery\current_charge_should_make_end,2.wav,la carica attuale dovrebbe bastare fino alla fine della gara,la carica attuale dovrebbe bastare fino alla fine della gara,your current charge level should last to the end of the race
\voice\battery\current_charge_should_make_end,3.wav,pensiamo che arriverai alla fine con la carica attuale,pensiamo che arriverai alla fine con la carica attuale,we think you'll make it to the end on your current charge
\voice\battery\current_charge_should_make_half_distance,1.wav,dovresti arrivare a meta' gara con la carica attuale,dovresti arrivare a meta' gara con la carica attuale,should be able to reach the middle of the race on the current charge
\voice\battery\current_charge_should_make_half_distance,2.wav,dovresti arrivare a meta' gara con questa carica,dovresti arrivare a meta' gara con questa carica,should be able to make the midpoint of the race on the current charge
\voice\battery\current_charge_should_make_half_distance,3.wav,la carica attuale dovrebbe bastarti fino a meta' gara,la carica attuale dovrebbe bastarti fino a meta' gara,the current charge should last you to the midpoint of the race
\voice\battery\five_minutes_battery,1.wav,ci sono circa cinque minuti di batteria rimasti,ci sono circa cinque minuti di batteria rimasti,there's about 5 minutes left in this battery
\voice\battery\five_minutes_battery,2.wav,abbiamo circa cinque minuti di batteria,abbiamo circa cinque minuti di batteria,we've got about 5 more minutes on this battery
\voice\battery\five_minutes_battery,3.wav,la batteria durera' ancora circa cinque minuti,la batteria durera' ancora circa cinque minuti,this battery will last about 5 more minutes
\voice\battery\four_laps_battery,1.wav,abbiamo quattro giri di batteria rimasti,abbiamo quattro giri di batteria rimasti,we got 4 laps of battery power left
\voice\battery\four_laps_battery,2.wav,ci sono circa quattro giri di batteria,ci sono circa quattro giri di batteria,there's about 4 laps left in the battery
\voice\battery\four_laps_battery,3.wav,la batteria durera' ancora circa quattro giri,la batteria durera' ancora circa quattro giri,the battery will last about 4 more laps
\voice\battery\half_charge_warning,1.wav,abbiamo meta' carica batteria rimasta,abbiamo meta' carica batteria rimasta,we got half our battery charge remaining
\voice\battery\half_charge_warning,2.wav,la batteria e' a meta' potenza,la batteria e' a meta' potenza,the battery is now at half power
\voice\battery\half_charge_warning,3.wav,abbiamo meta' della potenza batteria rimasta,abbiamo meta' della potenza batteria rimasta,"we got half the battery power left, now"
\voice\battery\half_distance_good_battery,1.wav,meta' gara la batteria e' ok arriviamo alla fine,meta' gara la batteria e' ok arriviamo alla fine,"half distance, the battery looks good, we'll make it to the end"
\voice\battery\half_distance_good_battery,2.wav,meta' gara la potenza batteria sembra ok,meta' gara la potenza batteria sembra ok,"half distance, the battery power looks okay"
\voice\battery\half_distance_good_battery,3.wav,meta' gara la batteria va bene pensiamo di arrivare alla fine,meta' gara la batteria va bene pensiamo di arrivare alla fine,"that's half distance, the battery looks good, we think we'll make it to the end"
\voice\battery\half_distance_good_battery,4.wav,meta' gara dovremmo avere abbastanza energia per finire,meta' gara dovremmo avere abbastanza energia per finire,"half distance, we should have enough power to get to the end"
\voice\battery\half_distance_low_battery,1.wav,meta' gara a questo ritmo non arriviamo alla fine con questa carica,meta' gara a questo ritmo non arriviamo alla fine con questa carica,"that's half distance, at this rate we won't make it to the end on this charge"
\voice\battery\half_distance_low_battery,2.wav,meta' gara non abbiamo abbastanza energia per arrivare alla fine,meta' gara non abbiamo abbastanza energia per arrivare alla fine,"that's half distance, we haven't got enough energy to get to the end"
\voice\battery\half_distance_low_battery,3.wav,meta' gara non abbiamo abbastanza energia per finire,meta' gara non abbiamo abbastanza energia per finire,"that's half distance, we don't have enough energy to get to the end"
\voice\battery\half_distance_low_battery,4.wav,meta' gara finiremo la batteria prima della fine,meta' gara finiremo la batteria prima della fine,"that's half distance, we'll be out of battery before the end"
\voice\battery\increase_battery_use_easily_make_end,1.wav,puoi aumentare l'uso batteria abbiamo molta energia per arrivare alla fine,puoi aumentare l'uso batteria abbiamo molta energia per arrivare alla fine,"you can increase your battery usage now, we've got plenty of energy to get us to the end"
\voice\battery\increase_battery_use_easily_make_end,2.wav,abbiamo molta batteria per finire puoi aumentare il consumo energia,abbiamo molta batteria per finire puoi aumentare il consumo energia,"we've got plenty of battery to make the end, you can increase your energy usage"
\voice\battery\increase_battery_use_easily_make_end,3.wav,aumenta il consumo energia abbiamo molta energia da spendere arriviamo alla fine,aumenta il consumo energia abbiamo molta energia da spendere arriviamo alla fine,"increase your energy usage, we've got plenty of energy to spare, we'll make it to the end"
\voice\battery\increase_battery_use_easily_make_half_distance,1.wav,puoi aumentare il consumo energia ne abbiamo piu' del necessario per meta' gara,puoi aumentare il consumo energia ne abbiamo piu' del necessario per meta' gara,"you can increase your energy usage, we have more than we need to make it to the midpoint"
\voice\battery\increase_battery_use_easily_make_half_distance,2.wav,abbiamo piu' che abbastanza energia per meta' gara puoi aumentare il consumo,abbiamo piu' che abbastanza energia per meta' gara puoi aumentare il consumo,"we have more than enough energy to make half distance, you can increase your battery usage"
\voice\battery\increase_battery_use_easily_make_half_distance,3.wav,aumenta il consumo batteria abbiamo piu' che abbastanza per meta' gara,aumenta il consumo batteria abbiamo piu' che abbastanza per meta' gara,"increase your battery usage, we've got more than enough energy to make half distance"
\voice\battery\laps,1.wav,giri,giri,Laps 
\voice\battery\laps,2.wav,giri,giri,Laps 
\voice\battery\laps,3.wav,giri,giri,Laps 
\voice\battery\laps,4.wav,giri,giri,Laps 
\voice\battery\laps_remaining,1.wav,giri di energia rimasti,giri di energia rimasti,laps of energy remaining
\voice\battery\laps_remaining,2.wav,giri di carica rimasti,giri di carica rimasti,laps of charge remaining
\voice\battery\laps_remaining,3.wav,giri rimasti nella batteria,giri rimasti nella batteria,laps remaining in the battery
\voice\battery\low_battery,1.wav,siamo bassi di carica,siamo bassi di carica,we're low on charge
\voice\battery\low_battery,2.wav,il livello batteria e' basso,il livello batteria e' basso,the battery level is low
\voice\battery\low_battery,3.wav,il livello batteria e' piuttosto basso ora,il livello batteria e' piuttosto basso ora,"the battery level is looking pretty low, now"
\voice\battery\minutes,1.wav,minuti,minuti,minutes
\voice\battery\minutes,2.wav,minuti,minuti,minutes
\voice\battery\minutes,3.wav,minuti,minuti,minutes
\voice\battery\minutes,4.wav,minuti,minuti,minutes
\voice\battery\minutes_remaining,1.wav,minuti di carica rimasti,minuti di carica rimasti,minutes of charge remaining
\voice\battery\minutes_remaining,2.wav,minuti di energia rimasti,minuti di energia rimasti,minutes of energy remaining
\voice\battery\minutes_remaining,3.wav,minuti rimasti nella batteria,minuti rimasti nella batteria,minutes left in the battery
\voice\battery\on_last_lap_you_used,1.wav,nell'ultimo giro hai usato,nell'ultimo giro hai usato,on last lap you used
\voice\battery\on_last_lap_you_used,2.wav,nel tuo ultimo giro hai usato,nel tuo ultimo giro hai usato,on your last lap you used
\voice\battery\on_last_lap_you_used,3.wav,nell'ultimo giro hai usato,nell'ultimo giro hai usato,on the last lap you used
\voice\battery\one_lap_battery,1.wav,un giro di batteria rimasto,un giro di batteria rimasto,one lap of battery power left
\voice\battery\one_lap_battery,2.wav,un giro rimasto con la carica attuale,un giro rimasto con la carica attuale,one lap left on our current charge
\voice\battery\one_lap_battery,3.wav,c'e' un giro rimasto nella batteria,c'e' un giro rimasto nella batteria,there's one lap left in this battery
\voice\battery\percent,1.wav,percento,percento,percent
\voice\battery\percent,2.wav,percento,percento,percent
\voice\battery\percent,3.wav,percento,percento,percent
\voice\battery\percent_of_your_battery,1.wav,percento della tua batteria,percento della tua batteria,percent of your battery
\voice\battery\percent_of_your_battery,2.wav,percento della tua energia,percento della tua energia,percent of your energy
\voice\battery\percent_of_your_battery,3.wav,percento della batteria rimanente,percento della batteria rimanente,percent of your remaining battery
\voice\battery\percent_of_your_battery,4.wav,percento della tua batteria,percento della tua batteria,percent of your battery
\voice\battery\percent_per_lap,1.wav,percento per giro,percento per giro,percent per lap
\voice\battery\percent_per_lap,2.wav,percento per giro,percento per giro,percent per lap
\voice\battery\percent_per_lap,3.wav,percento per giro,percento per giro,percent per lap
\voice\battery\percent_remaining,1.wav,percento di carica rimanente,percento di carica rimanente,percent of charge remaining
\voice\battery\percent_remaining,2.wav,percento rimanente,percento rimanente,percent remaining
\voice\battery\percent_remaining,3.wav,percento batteria rimanente,percento batteria rimanente,percent battery remaining
\voice\battery\percent_remaining,4.wav,percento batteria rimanente,percento batteria rimanente,percent battery remaining
\voice\battery\plenty_of_battery,1.wav,batteria abbondante,batteria abbondante,plenty of battery
\voice\battery\plenty_of_battery,2.wav,la batteria ha molta carica,la batteria ha molta carica,the battery's has got plenty of charge in it
\voice\battery\plenty_of_battery,3.wav,hai molta energia in batteria,hai molta energia in batteria,you got plenty of battery energy
\voice\battery\plenty_of_battery,4.wav,hai tantissima energia,hai tantissima energia,you got loads of energy
\voice\battery\plenty_of_battery,5.wav,batteria abbondante,batteria abbondante,plenty of battery
\voice\battery\reduce_battery_use_to_make_end,1.wav,devi ridurre il consumo batteria se vuoi arrivare alla fine,devi ridurre il consumo batteria se vuoi arrivare alla fine,you'll need to reduce your battery use if you're going to make it to the end
\voice\battery\reduce_battery_use_to_make_end,2.wav,non arriverai alla fine se non riduci il consumo batteria,non arriverai alla fine se non riduci il consumo batteria,you won't make it to the end unless you reduce your battery use
\voice\battery\reduce_battery_use_to_make_end,3.wav,devi ridurre il consumo batteria per arrivare alla fine della gara,devi ridurre il consumo batteria per arrivare alla fine della gara,you'll need to drop your battery use to make it to the end of the race
\voice\battery\reduce_battery_use_to_make_half_distance,1.wav,devi ridurre il consumo batteria per arrivare a meta' gara,devi ridurre il consumo batteria per arrivare a meta' gara,you'll need to reduce your battery use to reach half distance
\voice\battery\reduce_battery_use_to_make_half_distance,2.wav,devi ridurre il consumo batteria se vuoi arrivare a meta' gara,devi ridurre il consumo batteria se vuoi arrivare a meta' gara,you'll need to drop your battery use if you're going to make mid point of the race
\voice\battery\reduce_battery_use_to_make_half_distance,3.wav,devi ridurre il consumo batteria per arrivare al punto di meta',devi ridurre il consumo batteria per arrivare al punto di meta',you'll need to reduce your battery use to reach the halfway point
\voice\battery\ten_minutes_battery,1.wav,ci sono circa dieci minuti di batteria rimasti,ci sono circa dieci minuti di batteria rimasti,there's about 10 minutes left in this battery
\voice\battery\ten_minutes_battery,2.wav,la batteria finira' tra circa dieci minuti,la batteria finira' tra circa dieci minuti,we'll be out of battery in about 10 minutes
\voice\battery\ten_minutes_battery,3.wav,abbiamo circa dieci minuti di carica rimasti,abbiamo circa dieci minuti di carica rimasti,we got about 10 minutes of charge left
\voice\battery\three_laps_battery,1.wav,abbiamo potenza per altri tre giri,abbiamo potenza per altri tre giri,we got enough power for 3 more laps
\voice\battery\three_laps_battery,2.wav,pensiamo che la batteria finira' tra tre giri,pensiamo che la batteria finira' tra tre giri,we think we'll be out of battery in 3 laps
\voice\battery\three_laps_battery,3.wav,abbiamo circa tre giri di batteria rimasti,abbiamo circa tre giri di batteria rimasti,we got about 3 laps left in the battery
\voice\battery\two_laps_battery,1.wav,pensiamo circa due giri rimasti nella batteria,pensiamo circa due giri rimasti nella batteria,we think about 2 laps left in this battery
\voice\battery\two_laps_battery,2.wav,abbiamo potenza per due giri adesso,abbiamo potenza per due giri adesso,we got enough power for 2 laps now
\voice\battery\two_laps_battery,3.wav,due giri rimasti nella batteria,due giri rimasti nella batteria,2 laps remaining in the battery
\voice\battery\two_minutes_battery,1.wav,abbiamo carica per altri due minuti,abbiamo carica per altri due minuti,we got enough charge for 2 more minutes
\voice\battery\two_minutes_battery,2.wav,la batteria finira' tra due minuti,la batteria finira' tra due minuti,we'll be out of battery in 2 minutes
\voice\battery\two_minutes_battery,3.wav,abbiamo due minuti rimasti nella batteria,abbiamo due minuti rimasti nella batteria,we've got 2 minutes left in this battery
\voice\battery\we_estimate,1.wav,stimiamo,stimiamo,we estimate
\voice\battery\we_estimate,2.wav,pensiamo circa,pensiamo circa,we think about
\voice\battery\we_estimate,3.wav,stimiamo,stimiamo,we estimate
\voice\battery\we_estimate,4.wav,sembra che,sembra che,it looks like
\voice\battery\we_will_get_another,1.wav,avremo circa,avremo circa,we'll get about
\voice\battery\we_will_get_another,2.wav,abbiamo per altri,abbiamo per altri,we're good for another
\voice\battery\we_will_get_another,3.wav,avremo circa,avremo circa,we'll get about
\voice\battery\we_will_get_another,4.wav,abbiamo per altri,abbiamo per altri,we're good for another
\voice\battery\wont_make_end_without_pitstop,1.wav,non abbiamo abbastanza energia per arrivare alla fine dovremo fermarci,non abbiamo abbastanza energia per arrivare alla fine dovremo fermarci,"we don't have enough energy to get to the end, we'll need to stop"
\voice\battery\wont_make_end_without_pitstop,2.wav,non abbiamo abbastanza batteria per finire la gara dovremo fermarci,non abbiamo abbastanza batteria per finire la gara dovremo fermarci,"we don't have enough battery to make it to the end of the race, we'll need to stop"
\voice\battery\wont_make_end_without_pitstop,3.wav,dovremo fermarci prima della fine non abbiamo abbastanza energia,dovremo fermarci prima della fine non abbiamo abbastanza energia,"we'll need to stop before the end of the race, we don't have enough energy"
\voice\battery\wont_make_half_distance_without_pitstop,1.wav,non arriviamo a meta' gara senza un pit stop,non arriviamo a meta' gara senza un pit stop,we're not going to make it to half distance without a pit stop
\voice\battery\wont_make_half_distance_without_pitstop,2.wav,non abbiamo abbastanza energia per meta' gara dovremo fermarci,non abbiamo abbastanza energia per meta' gara dovremo fermarci,"we don't have enough energy to get us to half distance, we'll need to stop"
